AA0Ab,ACC3a,AC83a,AC83b,A80Aa,A80Ab,A80Ac,A82Aa,A82Ab,A82Ac,A9A3a,A9A3b,A9C3a,A9C3b,B0CBa,B083b,B083c,B083d,B10Aa,B10Ab,B12Aa,B12Ab,B12Ad,B18Ab,B18Ac,B203a,B203b,B22Aa,B22Ab,B2AAa,B2AAa_v1,B3CAa,B3CAc,B383a,B383c,BA0Aa,BA0Ab,BA0Ac,BA23b,BA23c,BAAAa,BAAAb,BAC3b,BAC3c,BA8Aa,BA8Ac,BB0Aa,BB0Ac,BB2Ae,BB2Af,BBAAa,BCCAa,BC8Aa,BC8Ab,B703a,B703b,B703c,B723a,B723b,B723c,B783b,B80Aa,B80Ad,B80Ae,B9A3a,B9CAa,B9CAc,B98Aa,C0CAa,C08Bc,C103a,C20Aa,C22Aa,C22Ab,C22Ac,C3ACa,C38Ca,C38Cb
ID_1,0.108973437,0.049514858,0.92736722,1.632345112,0.012193382,0.016373469,0.046313721,0.203048281,0.418718582,0.140127814,0.519600769,3.245547408,8.972750228,22.47678597,0.027416099,0.177025929,0.055453996,0.083468779,1.240374977,0.074161104,0.529616404,1.630446339,0.171097333,0.537212007,1.443084095,7.08043047800001,19.52252925,3.353211377,12.66548336,3.866784811,19.63856104,0.107993326,0.060806323,0.137728321,0.074022849,0.056067417,0.451474823,0.03697262,0.273202337,0.919783111,2.142297622,3.902336567,0.751704068,1.989915183,0.355166809,0.373409175,0.094958822,0.248124316,0.027014018,0.194297347,0.048030042,0.520483542,0.411313607,0.961723877,0.226140517,0.222811395,0.650521891,0.340616063,0.093147892,0.113812154,0.025979897,0.104997109,0.022938069,0.059117266,0.1732373,0.053481859,0.071731939,0.205940772,0.045367838,0.165308714,0.122700564,0.086481513,0.118910055,0.134899316,0.088547781,0.03614066,0.227834654,0.161611597
ID_2,0.091510777,0.032477465,0.545839582,1.135750365,0.009140838,0.007221965,0.030100265,0.078320713,0.324266028,0.11059391,0.614688973,1.219617295,6.37047641299999,20.99781151,0.005570148,0.116756174,0.035018314,0.094394815,1.061506364,0.056255106,0.407939413,1.287776845,0.099817535,0.278731103,0.631503066,6.184175402,11.27376229,5.363336158,8.96941209899999,2.821063132,15.15164255,0.072491779,0.04571161,0.256767447,0.061872118,0.038306714,0.22174275,0.030578233,0.213795215,0.287776903,2.12150436,3.828569522,0.805090265,1.082016821,0.357190827,0.178834094,0.090778211,0.189735038,0.02049209,0.169959995,0.06239757,0.14698062,0.403489619,0.48983222,0.133239702,0.250389648,0.246514259,0.226322885,0.148772464,0.083055645,0.01826023,0.085093925,0.018083961,0.042794566,0.125017681,0.039243142,0.057961663,0.222757039,0.030961703,0.143248858,0.124541575,0.067668438,0.103044344,0.109621665,0.045170255,0.02673847,0.100730607,0.133878008
ID_3,0.11308413,0.042146861,0.597003133,1.209818875,0.006708564,0.008838403,0.028355296,0.113050793,0.459513311,0.101781582,0.570951591,1.558928623,7.000727534,21.71119894,0.003786417,0.072099979,0.04710722,0.07512774,1.029188928,0.049807024,0.257870338,0.898074395,0.090445752,0.159131063,0.28247751,6.182646479,8.70860472100001,6.461228088,7.90904951,1.830365826,12.43543391,0.019820553,0.064713922,0.11522701,0.075500976,0.022706693,0.117743635,0.032805889,0.247997355,0.134514888,3.030639441,4.424424361,0.780912381,0.707392836,0.409323494,0.181258533,0.104735307,0.189560085,0.020438311,0.130438301,0.063025837,0.235818845,0.683232806,0.547543853,0.09725892,0.24602245,0.196782352,0.487281711,0.151336548,0.055554431,0.012926411,0.144592112,0.02723586,0.050051897,0.217392111,0.067214587,0.061437724,0.103315844,0.046485124,0.117457939,0.12680544,0.124638867,0.085297272,0.094730807,0.057035882,0.073428014,0.16893503,0.100350702
ID_4,0.142732076,0.079620761,0.891893585,1.548190758,0.014154599,0.013972797,0.03192162,0.152234167,0.589336032,0.159740238,0.353939827,1.049240567,8.75286729399999,28.57052139,0.006515064,0.15531095,0.066732137,0.108781309,1.693867441,0.091521342,0.435046669,1.356991903,0.143604195,0.231375649,0.896850373,10.05305718,17.18008006,4.990631914,9.59138249900001,4.266622235,21.48083923,0.06818119,0.072460378,0.117664987,0.128750423,0.049080495,0.230137828,0.042732318,0.43595408,0.242922948,4.782102722,4.353420205,1.179039558,1.076621498,0.45040774,0.258252928,0.136609267,0.27586827,0.027312869,0.292134746,0.070340945,0.126794483,0.935396487,0.699089486,0.12262309,0.377942551,0.603513579,0.43957243,0.272767849,0.088600742,0.028839897,0.095062233,0.023313889,0.09572442,0.186617499,0.07941537,0.075791279,0.0946026070000001,0.039832544,0.206772168,0.081725867,0.117434068,0.113621626,0.114506496,0.086151005,0.040703636,0.102257219,0.095589858
ID_5,0.1365561,0.0302115951028852,0.487660244,0.667299598,0.004548083,0.005578124,0.022895198,0.034218476,0.455998595,0.13283662,0.109481652,0.476536579,5.629278273,25.56347269,0.002509601,0.113596059,0.058023457,0.098048037,1.20764278,0.075135806,0.342647869,1.082979762,0.1077783,0.172730961,0.553881294,7.009025315,10.61137851,6.467421014,10.73500868,2.734893692,17.21979531,0.096492286,0.069289202,0.115213978,0.104821349,0.034173156,0.200680405,0.036160628,0.231302559,0.047085859,4.159273,3.701298541,0.796640151,1.042203734,0.501891079,0.230053741,0.150424938,0.292471025,0.018398522,0.177638636,0.063476384,0.329365912,0.736784215,0.739041428,0.282051834,0.357376923,0.312091101,0.525035771,0.200639317,0.151059978,0.022070036,0.192885822,0.037459008,0.066346724,0.25031448,0.082285503,0.103010441,0.092641321,0.071643817,0.173475997,0.162173173,0.182693194,0.161130952,0.209716327,0.11425118,0.068176836,0.249376354,0.167267968
ID_6,0.203722274,0.0420508470297654,0.626733434,1.024497425,0.0084427,0.007129199,0.03063864,0.126966604,0.525595689,0.131348871,0.420546808,1.75286581,8.42780777999999,29.89831249,0.005249804,0.129535499,0.05610644,0.104332807,1.265685885,0.048315194,0.430149114,1.460578565,0.119450981,0.192858711,0.623294659,7.56939501699999,13.52022164,5.045816716,9.71635252,2.774221082,17.67599957,0.060931402,0.065516857,0.303358376,0.110462769,0.024081332,0.178828878,0.041299792,0.350154446,0.259539057,5.555210746,4.483504719,1.145764779,1.054438439,0.347419403,0.219043861,0.137347399,0.216015661,0.024876917,0.188211959,0.08380072,0.207159782,0.920125589,0.739382626,0.174618754,0.463113313,0.333950558,0.435782759,0.237010952,0.100327279,0.021634442,0.143108547,0.0311927,0.061900342,0.271372421,0.063663767,0.199898826,0.041661112,0.05114931,0.182581259,0.270844352,0.158730803,0.126025787,0.138189181,0.064206002,0.063678145,0.125648471,0.255873448
ID_7,0.214493958,0.0324336403967061,0.593705217,0.978747521,0.005731574,0.007148367,0.022392669,0.149881006,0.592694508,0.157994247,0.290775827,1.460848511,8.04908915,27.56194517,0.005002633,0.108247296,0.044943668,0.10418571,1.375382432,0.074396189,0.292833652,1.193794966,0.131735514,0.175873704,0.794340609,9.29970716,12.3059846,9.052297224,8.778356165,2.826648378,19.21484297,0.018735389,0.0616432,0.086304442,0.095735158,0.0220851,0.125401231,0.046714877,0.406410937,0.43332615,7.185563972,2.814105081,1.762527501,1.102172368,0.492468364,0.214097853,0.138348602,0.259460743,0.031964407,0.231471899,0.081402909,0.344451262,1.190673913,0.826096027,0.198806045,0.694127146,0.477516159,0.568617662,0.462289848,0.100727301,0.026819897,0.20039249,0.038764159,0.092692645,0.29665531,0.08585886,0.166917161,0.090673438,0.065248806,0.258543358,0.202547221,0.18780855,0.165756865,0.234445112,0.133006862,0.074913971,0.222608029,0.194369295
ID_8,0.152020067,0.0319070797064635,0.53746035,1.227248007,0.007255054,0.010641977,0.039749295,0.172088978,0.779641703,0.234527143,0.304353255,1.239853961,11.59279617,30.59583222,0.002724989,0.058646672,0.054478845,0.189126361,2.443819685,0.122024156,0.423842077,1.305837891,0.0874857779999999,0.365977129,0.752156076,10.93492027,17.9442253,10.39973192,17.76978795,6.47640264200001,35.72787635,0.045694838,0.131263259,0.103839576,0.27866821,0.03592712,0.257657985,0.084784173,0.226536023,0.085677912,6.877616493,3.886610652,1.732871831,1.994719183,0.458982577,0.466671104,0.179446936,0.56932267,0.064708624,0.562674954,0.050979127,0.310729509,1.104242637,0.911628542,0.141153341,0.549568183,0.40563789,0.358540907,0.318821868,0.160322854,0.073907274,0.243587684,0.04813017,0.162260171,0.322016548,0.06902264,0.12636655,0.094784792,0.105293989,0.405255056,0.140781281,0.272095728,0.247250024,0.392335217,0.160401928,0.078303139,0.250660219,0.236787564
ID_9,0.047307044,0.0265982226907313,0.272797946,1.183586996,0.004513987,0.008624207,0.053084673,0.131423707,0.486795424,0.103025708,0.483917257,1.954827729,6.68292861800001,33.13916667,0.005330308,0.133447565,0.073572332,0.074795349,1.543120148,0.042250331,0.205897424,0.720357508,0.111668781,0.094698697,0.54835773,4.260106624,14.35670615,3.235167714,11.36914357,2.037088101,14.43802084,0.043314301,0.048976545,0.069851887,0.102144719,0.016077487,0.131218641,0.022626762,0.419901022,0.295658202,1.641073854,2.191669567,0.468877305,1.402331765,0.366283297,0.175979256,0.125679355,0.204420769,0.02231065,0.163211969,0.065929888,0.125633268,0.382406634,0.87573959,0.0948262860000001,0.09568607,0.195926919,0.429134246,0.066050015,0.078930619,0.020423592,0.197850123,0.036153008,0.047335559,0.268546346,0.074687132,0.115703094,0.052341719,0.060659736,0.136674298,0.154323883,0.169513194,0.11355571,0.103232496,0.096068373,0.112678958,0.13751057,0.144116817
ID_10,0.119158196731116,0.0526911227351918,0.673616294,2.049104857,0.011619286,0.020343245,0.028718847,0.245910504,0.661242526,0.109790418,0.444131482,2.456194077,8.56750389,22.65630446,0.0090894,0.139852424,0.055366941,0.08536753,1.56045294,0.054967102,0.410401273,1.299933791,0.139015856,0.196866644,0.996388876,5.621495566,14.42570047,2.886577036,7.06554898099999,2.666819621,14.61446355,0.063789047,0.054340417,0.145206796,0.087625667,0.031847234,0.188651286,0.026507654,0.402393199,0.363992117,2.591875277,3.721564876,0.629499793,0.859194981,0.374367386,0.214319481,0.101537687,0.216506095,0.027316485,0.159786125,0.067521027,0.182355986,0.669820003,0.783826722,0.204697461,0.133970384,0.218835141,0.307529257,0.090935742,0.062960927,0.025645706,0.268623826,0.032245455,0.057028932,0.284829945,0.053075035,0.117654473,0.132475079,0.045720398,0.173515055,0.410630063,0.143356524,0.117097595,0.180465143,0.236475981,0.089814732,0.151343074,0.496967685
