440.4b,466.3a,468.3a,468.3b,480.4a,480.4b,480.4c,482.4a,482.4b,482.4c,494.3a,494.3b,496.3a,496.3b,506.5a,508.3b,508.3c,508.3d,510.4a,510.4b,512.4a,512.4b,512.4d,518.4b,518.4c,520.3a,520.3b,522.4a,522.4b,524.4a,524.4a_v1,536.4a,536.4c,538.3a,538.3c,540.4a,540.4b,540.4c,542.3b,542.3c,544.4a,544.4b,546.3b,546.3c,548.4a,548.4c,550.4a,550.4c,552.4e,552.4f,554.4a,566.4a,568.4a,568.4b,570.3a,570.3b,570.3c,572.3a,572.3b,572.3c,578.3b,580.4a,580.4d,580.4e,594.3a,596.4a,596.4c,598.4a,606.4a,608.5c,610.3a,620.4a,622.4a,622.4b,622.4c,634.6a,638.6a,638.6b
ID_1,0.108973436993845,0.0495148577908418,0.927367219602379,1.6323451123612,0.0121933823731556,0.0163734693877551,0.0463137213785518,0.20304828092621,0.418718582388195,0.140127814004927,0.519600768934392,3.24554740796689,8.97275022829524,22.4767859707359,0.0274160988585433,0.177025928686024,0.0554539955258023,0.0834687785297365,1.24037497684255,0.0741611040905041,0.529616403818607,1.63044633917963,0.171097332850391,0.537212007477156,1.44308409527608,7.08043047832341,19.5225292511402,3.35321137711025,12.6654833589096,3.86678481104496,19.6385610377555,0.107993326425511,0.0608063227035056,0.137728320803516,0.0740228492329732,0.0560674165489097,0.451474823103708,0.0369726195557752,0.27320233695247,0.919783111427856,2.14229762182272,3.90233656684943,0.751704067949254,1.98991518298723,0.355166809477147,0.373409175080382,0.0949588215503029,0.248124316021984,0.0270140182554527,0.194297346711653,0.048030041859532,0.520483542452401,0.411313606986789,0.961723876905285,0.226140516899145,0.222811394502666,0.650521891255657,0.340616062865351,0.0931478921495112,0.113812153833492,0.025979896937638,0.104997109107374,0.0229380687482,0.0591172659540006,0.173237300018942,0.0534818587138947,0.0717319389126303,0.205940772147741,0.0453678378177572,0.165308713961775,0.122700563642356,0.086481512537832,0.118910055431946,0.134899316346913,0.0885477810171688,0.0361406599073077,0.227834654477569,0.16161159701976
ID_2,0.0915107772380292,0.0324774649146957,0.545839581791689,1.13575036484432,0.00914083796818741,0.00722196460791117,0.030100264770253,0.0783207133925293,0.32426602792221,0.110593909763921,0.614688973148776,1.21961729465793,6.37047641287859,20.9978115068736,0.00557014774413797,0.116756174238394,0.0350183140007038,0.0943948147487461,1.06150636423508,0.0562551055192078,0.407939413225596,1.28777684453664,0.0998175350292635,0.278731103185463,0.631503066258425,6.18417540240517,11.2737622860236,5.36333615782471,8.96941209856083,2.82106313154228,15.1516425492676,0.0724917786813885,0.045711609960426,0.25676744667424,0.0618721176831846,0.0383067141158207,0.221742749535939,0.0305782334372313,0.213795214900625,0.287776903116882,2.12150436014279,3.82856952216961,0.805090265074302,1.08201682131141,0.357190827139909,0.178834094495182,0.0907782114769741,0.189735037509448,0.0204920898692346,0.169959995012823,0.0623975703577511,0.146980619970786,0.403489619350959,0.489832220116057,0.133239702252179,0.250389647912502,0.24651425854803,0.226322885324852,0.148772463708254,0.0830556453851492,0.0182602302591435,0.0850939252686503,0.0180839611403147,0.0427945662734212,0.12501768088799,0.0392431415688512,0.0579616632923492,0.222757039478704,0.0309617029472634,0.143248858431645,0.124541574627428,0.0676684380735527,0.10304434445459,0.109621664868459,0.0451702546244755,0.0267384700750804,0.100730606812301,0.13387800832755
ID_3,0.113084129911788,0.0421468605934115,0.597003132564584,1.20981887528383,0.00670856393473648,0.00883840271848904,0.0283552957934722,0.113050792604901,0.459513310596134,0.101781582345453,0.570951590941271,1.55892862275468,7.00072753403351,21.7111989433231,0.00378641651791099,0.0720999786194155,0.0471072197778451,0.075127740351904,1.02918892814453,0.0498070243291065,0.257870337943724,0.89807439528537,0.0904457516232858,0.159131063395141,0.282477509825839,6.18264647937106,8.70860472082885,6.46122808822122,7.90904951008679,1.83036582593524,12.4354339070012,0.0198205528182608,0.0647139216536665,0.115227010492424,0.0755009761291713,0.0227066925472295,0.117743635427269,0.0328058888450081,0.247997355498841,0.134514887795104,3.03063944057265,4.42442436149312,0.780912381169844,0.707392835777074,0.40932349433904,0.181258533456476,0.104735306571129,0.18956008451043,0.0204383107853441,0.130438301288069,0.0630258369446541,0.235818844849276,0.683232805918261,0.547543852639556,0.0972589201123798,0.24602244964337,0.196782351655259,0.487281710951437,0.151336548315777,0.0555544306335205,0.0129264106944776,0.144592112062137,0.0272358599738445,0.0500518965517242,0.217392111017249,0.0672145869252838,0.0614377244213931,0.10331584419485,0.0464851236719602,0.117457939053729,0.126805440465722,0.124638867215459,0.0852972715755344,0.0947308074310731,0.057035882117081,0.0734280141676502,0.168935030015483,0.100350701684042
ID_4,0.142732075640359,0.0796207613407639,0.891893584732375,1.54819075829284,0.0141545993251793,0.0139727971320118,0.031921619586617,0.152234166772654,0.589336031967112,0.15974023751463,0.353939826727073,1.04924056663148,8.75286729368267,28.5705213921176,0.00651506394851403,0.155310949706972,0.066732137279336,0.108781308661984,1.69386744064408,0.0915213417570798,0.435046669013933,1.35699190287498,0.143604195097423,0.231375649290969,0.896850372646477,10.0530571812812,17.1800800588439,4.99063191429061,9.59138249889707,4.26662223543715,21.4808392298534,0.0681811895585565,0.0724603780294328,0.117664986558602,0.128750422903836,0.0490804945487653,0.230137827522627,0.0427323179302158,0.435954080053899,0.242922948284126,4.78210272188015,4.35342020497804,1.17903955762411,1.07662149849125,0.450407740048312,0.25825292793545,0.13660926692263,0.275868269802597,0.0273128692778556,0.292134745767894,0.070340945394326,0.12679448282155,0.935396486548363,0.699089486419689,0.122623090382946,0.377942551238775,0.603513579280502,0.439572430034485,0.272767848940568,0.0886007423028259,0.028839896681375,0.0950622331446977,0.0233138885523253,0.0957244200759174,0.186617499146674,0.0794153698354761,0.075791278841451,0.0946026074708193,0.039832543794701,0.206772167861662,0.0817258672855969,0.117434068034933,0.113621625569046,0.114506496024919,0.0861510047820923,0.040703635768183,0.102257219195595,0.0955898576535152
ID_5,0.136556099870857,0.0185641800554846,0.487660244138011,0.667299598051342,0.00454808308222127,0.00557812354713732,0.0228951976511763,0.0342184758953195,0.455998594860596,0.132836619538333,0.10948165199868,0.4765365793219,5.62927827322657,25.5634726906338,0.00250960094445768,0.113596059074019,0.0580234571604634,0.0980480373508751,1.20764277988641,0.075135806284135,0.342647868712742,1.08297976211011,0.107778299629499,0.172730961462916,0.553881293686108,7.0090253149148,10.6113785062505,6.46742101440935,10.735008682601,2.73489369182832,17.2197953057233,0.0964922861836485,0.0692892021499232,0.115213977642271,0.104821349066975,0.0341731562449822,0.20068040451198,0.0361606281966188,0.231302559437301,0.0470858590182032,4.15927299981156,3.70129854132901,0.79664015055084,1.04220373368213,0.501891078545915,0.230053740659136,0.150424938128596,0.292471024576152,0.0183985220269,0.177638636048791,0.0634763841238478,0.329365912205244,0.7367842152722,0.739041428312183,0.282051834364209,0.357376923378637,0.312091101168933,0.525035770843492,0.200639317100306,0.151059978476108,0.0220700363371157,0.192885822271425,0.0374590081310497,0.0663467240637107,0.250314480426084,0.0822855026301925,0.103010440572419,0.0926413209439794,0.0716438165388092,0.173475997479087,0.162173172852981,0.182693194292446,0.161130951894355,0.209716327222626,0.114251179509255,0.0681768363879592,0.249376353776712,0.167267968144641
ID_6,0.203722274066798,0.0445321053067326,0.62673343353356,1.02449742538934,0.00844270039292731,0.00712919941060904,0.0306386400435774,0.126966604139665,0.525595688716375,0.131348870652892,0.420546807813512,1.75286580996474,8.42780778002957,29.8983124921533,0.00524980386701185,0.129535499255893,0.0561064401452598,0.104332807210634,1.26568588464056,0.0483151939253467,0.430149113817998,1.46057856480256,0.119450981069345,0.192858710800022,0.623294658609487,7.56939501712729,13.5202216434869,5.04581671607645,9.71635252045719,2.77422108239242,17.6759995729484,0.0609314021197903,0.0655168565488178,0.303358375844578,0.110462769198773,0.0240813316743856,0.178828878174329,0.0412997917478126,0.350154446392886,0.259539057213994,5.55521074569001,4.48350471910112,1.14576477909951,1.05443843855944,0.347419402977819,0.219043861306484,0.137347399001016,0.21601566078026,0.0248769173160769,0.188211959215243,0.0838007197330659,0.207159782313783,0.920125589459454,0.739382626236101,0.174618753563904,0.463113312601117,0.333950557672385,0.435782758761265,0.237010951597646,0.100327278978389,0.0216344419593953,0.143108546705911,0.0311926998996994,0.0619003415485563,0.271372421345189,0.0636637668814364,0.199898826428255,0.0416611124309072,0.051149310176817,0.182581258901647,0.270844351729799,0.158730802834639,0.126025787159507,0.13818918090378,0.0642060019646366,0.0636781449279872,0.125648470671542,0.255873447937132
ID_7,0.214493958028306,0.0277425297968853,0.593705217004945,0.978747520625314,0.00573157393850659,0.00714836749633968,0.0223926691414568,0.149881005571835,0.592694507991302,0.15799424704761,0.290775826611752,1.4608485111493,8.04908914988639,27.5619451735468,0.00500263299313247,0.108247296165539,0.0449436677137846,0.104185710134306,1.37538243230849,0.0743961892199456,0.292833652399936,1.19379496612746,0.131735514146386,0.175873704487554,0.794340609296216,9.29970716042134,12.3059845979571,9.0522972244241,8.7783561645016,2.82664837825991,19.2148429714563,0.0187353887278549,0.0616431999809308,0.0863044423988573,0.0957351581034607,0.0220850997000941,0.12540123053647,0.0467148774836144,0.406410936622853,0.433326150048092,7.18556397185947,2.81410508136832,1.76252750060984,1.10217236794653,0.492468364117494,0.214097852867557,0.13834860176001,0.259460742911457,0.0319644067352723,0.23147189923141,0.0814029090112969,0.344451261910551,1.19067391323435,0.826096026645417,0.198806044850884,0.694127146393189,0.477516159326214,0.568617662364222,0.462289848029782,0.100727301457928,0.0268198973353887,0.200392490335743,0.0387641589681201,0.092692645192777,0.296655309645365,0.0858588602610701,0.16691716099277,0.0906734376954013,0.0652488055883719,0.258543357735481,0.202547221078213,0.187808549894538,0.165756865392673,0.234445112189867,0.133006861883846,0.0749139710645233,0.22260802865417,0.194369294534504
ID_8,0.15202006741573,0.0177568428736263,0.537460350094384,1.22724800687783,0.00725505393258427,0.0106419765783037,0.0397492945675353,0.172088978230593,0.77964170345256,0.23452714261552,0.304353255299576,1.23985396058794,11.5927961745183,30.5958322234622,0.00272498904754587,0.0586466718624278,0.0544788445390553,0.189126360883807,2.44381968495435,0.122024155517361,0.423842076782232,1.3058378911272,0.0874857780593139,0.36597712912734,0.752156076010351,10.9349202709208,17.9442253008972,10.3997319244241,17.7697879530197,6.47640264180273,35.7278763545605,0.0456948375093352,0.131263258595932,0.103839576091618,0.278668210478299,0.0359271195311138,0.257657985200997,0.0847841730461051,0.226536022772714,0.0856779122434532,6.87761649340456,3.88661065246338,1.73287183068675,1.99471918337817,0.45898257716886,0.466671103681068,0.179446936120537,0.569322670236805,0.0647086244889511,0.562674953576543,0.0509791271730621,0.310729509402381,1.10424263661561,0.911628541954672,0.141153341097224,0.549568183225492,0.405637889666026,0.35854090723439,0.318821868014477,0.160322853932584,0.073907274450105,0.243587684420879,0.0481301704224514,0.162260170786517,0.322016547626987,0.0690226404726697,0.126366550345495,0.0947847923510805,0.105293988857429,0.405255056179775,0.140781280830379,0.272095727703178,0.247250023723015,0.392335217344481,0.160401928089888,0.0783031386082528,0.250660219498191,0.236787564044944
ID_9,0.0473070437601297,0.0224255648784869,0.27279794632181,1.18358699569517,0.00451398735818477,0.00862420671706242,0.0530846733921257,0.131423706717758,0.486795424046802,0.10302570772567,0.483917256584921,1.95482772853323,6.6829286180787,33.1391666729796,0.00533030760500806,0.133447564529428,0.0735723319219894,0.0747953486060565,1.54312014781558,0.0422503305549124,0.205897423941617,0.720357508082291,0.111668780840918,0.0946986973429974,0.548357730011934,4.2601066241604,14.3567061465993,3.23516771413577,11.3691435740554,2.0370881014904,14.4380208354097,0.0433143011433694,0.0489765449912408,0.0698518866260366,0.10214471852221,0.0160774873213129,0.131218641254572,0.0226267618345486,0.419901022083704,0.2956582023388,1.64107385444196,2.19166956704498,0.468877304938754,1.40233176456855,0.366283297035571,0.175979256074793,0.125679355436302,0.204420769476251,0.0223106498173923,0.163211968967976,0.065929887989531,0.125633267927339,0.382406634380278,0.875739590154174,0.0948262860021253,0.0956860695327664,0.195926918615278,0.429134245957196,0.0660500154382938,0.0789306191247974,0.0204235922865101,0.197850122550953,0.0361530079265902,0.0473355591572123,0.268546346139846,0.0746871318563504,0.115703093737779,0.0523417190327764,0.0606597360808434,0.13667429821718,0.154323882588396,0.169513194494386,0.113555709761963,0.103232495878699,0.0960683727714749,0.112678958145704,0.137510569924435,0.144116816855754
ID_10,0.191161643972102,0.0584670812840087,0.673616294299299,2.04910485710884,0.0116192856193956,0.0203432451012953,0.0287188470467314,0.245910503994218,0.661242526024411,0.109790418468236,0.444131482499408,2.45619407654345,8.56750388961653,22.6563044587388,0.00908939991391247,0.139852424112632,0.0553669411760477,0.0853675302409678,1.56045293978638,0.0549671017595532,0.410401273268852,1.29993379065492,0.139015856115263,0.196866643622452,0.996388876215601,5.62149556614704,14.4257004653295,2.88657703606206,7.06554898143495,2.66681962103986,14.6144635466523,0.0637890473402656,0.0543404166582557,0.145206795519516,0.0876256671343585,0.0318472342247947,0.188651286167146,0.0265076535983611,0.402393199427984,0.363992117071917,2.59187527665408,3.72156487574052,0.629499793043356,0.859194980668895,0.374367386346881,0.214319480891851,0.10153768695067,0.216506095451201,0.0273164846010408,0.15978612503266,0.067521027494669,0.182355985678831,0.669820002550084,0.783826721671805,0.204697460518021,0.133970383829622,0.21883514102736,0.307529257260118,0.0909357415629624,0.0629609266024577,0.0256457063093119,0.268623826359014,0.0322454545901455,0.0570289316469354,0.284829945089773,0.0530750352074491,0.117654473341629,0.132475078780939,0.0457203979750405,0.17351505479907,0.410630062790835,0.143356523613603,0.117097594890639,0.180465143270116,0.236475981401528,0.0898147324455282,0.151343074228673,0.496967685154434
