,AA0Ab,ACC3a,AC83a,AC83b,A80Aa,A80Ab,A80Ac,A82Aa,A82Ab,A82Ac,A9A3a,A9A3b,A9C3a,A9C3b,B0CBa,B083b,B083c,B083d,B10Aa,B10Ab,B12Aa,B12Ab,B12Ad,B18Ab,B18Ac,B203a,B203b,B22Aa,B22Ab,B2AAa,B2AAa_v1,B3CAa,B3CAc,B383a,B383c,BA0Aa,BA0Ab,BA0Ac,BA23b,BA23c,BAAAa,BAAAb,BAC3b,BAC3c,BA8Aa,BA8Ac,BB0Aa,BB0Ac,BB2Ae,BB2Af,BBAAa,BCCAa,BC8Aa,BC8Ab,B703a,B703b,B703c,B723a,B723b,B723c,B783b,B80Aa,B80Ad,B80Ae,B9A3a,B9CAa,B9CAc,B98Aa,C0CAa,C08Bc,C103a,C20Aa,C22Aa,C22Ab,C22Ac,C3ACa,C38Ca,C38Cb
group,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,8,8,8,8,8,8,8
ID_1,0.108973437,0.049514858,0.92736722,2.138825809,0.016889602,0.016373469,0.045061864,0.203048281,0.418718582,0.140127814,0.660277819,3.448339431,8.972750228,32.73899012,0.014077725,0.177025929,0.15284277,0.083468779,1.240374977,0.074161104,0.616048214,1.868277359,0.150804367,0.537212007,2.370167389,8.696651721,16.90610783,5.71323647,13.02121385,2.997313678,19.58757767,0.153415422,0.060806323,0.176162483,0.10947148,0.060712475,0.451474823,0.03697262,0.474547129,0.919783111,4.442433299,5.355421077,0.751704068,1.989915183,0.355166809,0.373409175,0.127746448,0.215776177,0.030115852,0.236772511,0.048030042,0.520483542,0.773272217,0.961723877,0.226140517,0.441005972,0.650521891,0.290610996,0.159405573,0.163441853,0.019418558,0.104997109,0.022938069,0.076104272,0.189338217,0.053481859,0.067151657,0.205940772,0.024013509,0.165308714,0.147736978,0.086481513,0.093876303,0.134899316,0.088547781,0.034837179,0.092432126,0.161611597
ID_2,0.091510777,0.032477465,0.545839582,1.135750365,0.006712215,0.007904203,0.030799809,0.078320713,0.324266028,0.109350764,0.614688973,1.564210157,5.866510491,22.5476455,0.003899341,0.116756174,0.035018314,0.076103044,1.007019118,0.048743272,0.459936445,1.287776845,0.058112796,0.278731103,0.631503066,5.51785861,11.27376229,5.363336158,8.893885752,2.821063132,14.30359926,0.032605027,0.048837965,0.256767447,0.061872118,0.043207859,0.308456693,0.030578233,0.228586755,0.137198087,2.12150436,3.828569522,0.665218843,1.082016821,0.357190827,0.229059541,0.095310735,0.189735038,0.020549978,0.169959995,0.041661399,0.408251263,0.488545824,0.48983222,0.196152707,0.186034219,0.194977061,0.226322885,0.148772464,0.083055645,0.017548693,0.085093925,0.016084005,0.050945431,0.169358962,0.042775633,0.057961663,0.222757039,0.030961703,0.152219531,0.124541575,0.067668438,0.090426353,0.108384707,0.04654051,0.030371401,0.084019102,0.133878008
ID_3,0.11308413,0.042146861,0.496422843,1.209818875,0.009841071,0.008321481,0.022354235,0.113050793,0.459513311,0.126713119,0.570951591,1.558928623,6.239716719,24.54840369,0.004920184,0.072357507,0.04710722,0.094338419,1.10142681,0.049807024,0.335852856,1.065474045,0.095569658,0.159131063,0.57152499,5.782576945,8.708604721,6.461228088,7.90904951,2.058045237,15.42673421,0.019820553,0.064713922,0.11522701,0.06552557,0.022706693,0.144920388,0.032805889,0.266313661,0.134514888,3.441473305,4.424424361,0.943068987,1.041164465,0.456667391,0.187595233,0.170922921,0.200241751,0.021076014,0.130438301,0.061052243,0.235818845,0.704668129,0.547543853,0.127399438,0.329644589,0.167309231,0.487281711,0.22464443,0.087580731,0.01880395,0.144592112,0.028146929,0.050051897,0.225149283,0.071102207,0.061437724,0.090596367,0.046485124,0.157900728,0.130789834,0.143542393,0.085297272,0.094730807,0.072485145,0.073428014,0.16893503,0.100350702
ID_4,0.23125981,0.079620761,0.891893585,1.548190758,0.010617869,0.013972797,0.03192162,0.17983397,0.589336032,0.134782312,0.445081547,2.435672701,8.174583409,28.57052139,0.007593313,0.15531095,0.066732137,0.108781309,1.693867441,0.071125663,0.453513141,1.54940439,0.144129676,0.219090257,0.896850373,10.05305718,17.18008006,8.460326761,9.591382499,3.067547924,23.13351647,0.06818119,0.084894752,0.140301511,0.128750423,0.049080495,0.270266649,0.03942391,0.384094601,0.242922948,4.782102722,4.353420205,1.179039558,1.076621498,0.430717237,0.258252928,0.136609267,0.27586827,0.027312869,0.292134746,0.070340945,0.365157809,0.905427882,0.863490157,0.133210527,0.448277682,0.603513579,0.436862668,0.212998464,0.088600742,0.025927635,0.107589372,0.02898261,0.09572442,0.20232541,0.07941537,0.075791279,0.094602607,0.048797397,0.206772168,0.081725867,0.107432782,0.119987106,0.159436509,0.063445255,0.040703636,0.116699825,0.075948794
ID_5,0.1365561,0.01856418,0.487660244,0.667299598,0.00765495,0.005578124,0.028371754,0.034218476,0.393764438,0.13283662,0.29727574,0.476536579,5.629278273,25.56347269,0.002509601,0.113596059,0.059540456,0.098048037,1.316873676,0.075135806,0.342647869,1.257134963,0.012198802,0.154189753,0.119671801,6.734181525,13.13261316,6.467421014,8.555558532,2.656830603,17.21979531,0.096492286,0.069289202,0.115213978,0.124897525,0.034500781,0.200680405,0.036160628,0.231302559,0.222773771,3.575286888,3.701298541,0.796640151,1.042203734,0.494286036,0.247197408,0.150424938,0.292471025,0.018398522,0.200886275,0.058905181,0.186708916,0.736784215,0.895590587,0.282051834,0.357376923,0.26896862,0.486628117,0.339142954,0.151059978,0.022070036,0.192885822,0.037459008,0.066346724,0.25031448,0.090799184,0.103010441,0.209081588,0.071643817,0.161171037,0.157290797,0.182693194,0.161130952,0.209716327,0.11425118,0.068176836,0.249376354,0.167267968
ID_6,0.203722274,0.044532105,0.626733434,1.145041609,0.008784651,0.007129199,0.021484399,0.151853376,0.446524035,0.129254797,0.404846236,1.75286581,8.42780778,29.89831249,0.004755981,0.129535499,0.05610644,0.104332807,1.265685885,0.048315194,0.459633308,1.392712322,0.120747617,0.204188204,0.623294659,8.430339442,13.52022164,8.441627564,9.389162849,2.818640696,17.67599957,0.060931402,0.065516857,0.303358376,0.110462769,0.024081332,0.187127523,0.041299792,0.350154446,0.375776177,4.659945916,3.934977326,1.145764779,1.080179513,0.347419403,0.199746247,0.137347399,0.216015661,0.020212155,0.188211959,0.08380072,0.207159782,0.875933328,0.774396404,0.175781411,0.463113313,0.289582554,0.435782759,0.242664993,0.100327279,0.021634442,0.15520199,0.023534992,0.074878197,0.298166713,0.056865739,0.199898826,0.120200898,0.062349923,0.164490074,0.270844352,0.177726776,0.126025787,0.186473863,0.064206002,0.063678145,0.125648471,0.255873448
ID_7,0.13746782,0.02774253,0.593705217,1.143170375,0.008062219,0.007148367,0.030445758,0.149881006,0.478302881,0.157994247,0.383178756,1.460848511,8.284145362,27.74035568,0.005002633,0.061605804,0.098032242,0.117363051,1.358291459,0.05975946,0.351063312,0.913814808,0.10657394,0.239990101,0.572791477,9.218938965,12.3059846,9.052297224,8.778356165,2.845987998,18.80022958,0.018735389,0.064114667,0.064115108,0.111205211,0.026603165,0.133373638,0.027322922,0.458088112,0.43332615,6.308770598,2.814105081,1.590144091,1.102172368,0.492468364,0.214097853,0.138348602,0.283243817,0.02489881,0.221974798,0.038888962,0.146738091,1.234545575,0.85576464,0.145787257,0.694127146,0.477516159,0.438054175,0.462289848,0.143224949,0.023984769,0.20039249,0.040523806,0.092692645,0.349928162,0.068342532,0.166917161,0.105322693,0.065248806,0.214807354,0.205850583,0.18780855,0.165756865,0.221620856,0.101009736,0.074913971,0.222608029,0.197191903
ID_8,0.152020067,0.028731543,0.53746035,1.227248007,,0.004811662,0.039749295,0.100459328,0.638271723,0.227096771,0.304353255,1.239853961,10.7930786,34.06587541,0.002724989,0.145443144,0.172966665,0.189126361,2.301324701,0.122024156,0.423842077,1.460479294,0.087485778,0.173681153,0.630728925,10.93492027,22.06601151,10.39973192,17.76978795,6.476402642,34.07860801,0.079918785,0.112637937,0.103839576,0.27866821,0.039649001,0.257657985,0.068929169,0.226536023,0.085677912,5.545419462,3.886610652,1.527810665,1.994719183,0.458982577,0.466671104,0.171969475,0.553589465,0.06603946,0.562674954,0.039711728,0.105315136,1.104242637,0.911628542,0.138696905,0.549568183,0.461265591,0.467725644,0.395021649,0.160322854,0.053303714,0.200377825,0.04813017,0.162260171,0.391085418,0.060574831,0.12636655,0.08857083,0.101620453,0.405255056,0.140781281,0.23087889,0.186083764,0.391575635,0.160401928,0.084173441,0.150489454,0.165257003
ID_9,0.047307044,0.030344462,0.453407602,1.246445893,0.004513987,0.007713415,0.053084673,0.168065729,0.514121217,0.103025708,0.483917257,1.954827729,8.206114188,20.44907221,0.005330308,0.133447565,0.111355935,0.07638178,1.013978359,0.042250331,0.232645625,0.720357508,0.118953641,0.094698697,0.54835773,4.260106624,14.35670615,3.235167714,11.36914357,1.87762308,14.43802084,0.028527273,0.050068443,0.047438881,0.078782845,0.016077487,0.131218641,0.022626762,0.114479566,0.421484938,1.641073854,2.191669567,0.468877305,1.402331765,0.366283297,0.196772482,0.125679355,0.208369737,0.02231065,0.143169942,0.066812077,0.151527085,0.382406634,0.87573959,0.094826286,0.159328643,0.214842903,0.429134246,0.066050015,0.078930619,0.013898111,0.143414073,0.036153008,0.047335559,0.26039404,0.074687132,0.115703094,0.052341719,0.060659736,0.207414142,0.129073082,0.169513194,0.11355571,0.103232496,0.096068373,0.112678958,0.118498088,0.110627041
